"","argomento","nome","cognome","genere","dataNascita","gruppo_parlamentare","background","inizioIncarico","fineIncarico","data_intervento","intervento","discussione"
"1","Per un richiamo al Regolamento circa la presunta parzialità della Presidente della Camera nella conduzione della seduta, in difesa della stessa dai reiterati attacchi da parte di un gruppo parlamentare, su presunte anomalie nelle votazioni in Comitato dei nove, e sull'ordine dei lavori (omicidio di una donna a Udine; insulti ad esponenti di un partito da parte di un membro del Comitato dei saggi per le riforme costituzionali; compleanno di Lucia Annibaldi, vittima di violenza; sugli effetti negativi del decreto svuota-carceri e sugli uomini vittime di stalking; sentenza sul lodo Mondadori; contenuto degli interventi sull'ordine dei lavori).","FERDINANDO","ADORNATO","male","19540511","SCELTA CIVICA PER L'ITALIA (19.03.2013-10.12.2013)","Laurea in filosofia;  Dirigente di fondazione, Presidente Fondazione ""Liberal""","20130319","20131210","20130918","<http://dati.camera.it/ocd/intervento.rdf/in17_234424>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib57966_17>"
"2","Iniziative urgenti per avviare il Piano d'azione straordinario contro la violenza sessuale e di genere e per rilanciare le politiche di prevenzione e contrasto alla violenza sulle donne  n. 2-00544","ROBERTA","AGOSTINI","female","19660825","PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico","20130319","20170228","20140530","<http://dati.camera.it/ocd/intervento.rdf/in17_279892>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib66770_17>"
"3","Iniziative urgenti per avviare il Piano d'azione straordinario contro la violenza sessuale e di genere e per rilanciare le politiche di prevenzione e contrasto alla violenza sulle donne  n. 2-00544","ROBERTA","AGOSTINI","female","19660825","PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico","20130319","20170228","20140530","<http://dati.camera.it/ocd/intervento.rdf/in17_279891>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib66770_17>"
"4","Seguito dell'esame e rinvio - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. Testo base C. 3297, approvata dal Senato, C. 1278","ROBERTA","AGOSTINI","female","19660825","PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico","20130319","20170228","20151217","<http://dati.camera.it/ocd/intervento.rdf/in17_369095>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib86168_17>"
"5","Seguito dell'esame e rinvio - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. Testo base C. 3297, approvata dal Senato, C. 1278","ROBERTA","AGOSTINI","female","19660825","PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico","20130319","20170228","20151217","<http://dati.camera.it/ocd/intervento.rdf/in17_369094>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib86168_17>"
"6","Seguito dell'esame e rinvio - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. Testo base C. 3297, approvata dal Senato, C. 1278","ROBERTA","AGOSTINI","female","19660825","PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico","20130319","20170228","20151217","<http://dati.camera.it/ocd/intervento.rdf/in17_369086>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib86168_17>"
"7","Discussione e conclusione - Approvazione della risoluzione n. 8-00185 - 7-00988 Zampa: Sull'attuazione degli impegni assunti dall'Italia in materia di salute globale, eguaglianza di genere e di empowerment delle donne","ROBERTA","AGOSTINI","female","19660825","PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico","20130319","20170228","20160526","<http://dati.camera.it/ocd/intervento.rdf/in17_393683>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib92173_17>"
"8","Svolgimento e conclusione - Indagine conoscitiva sulle politiche in materia di parità tra donne e uomini. Audizione di Aldo Reschigna, Vice Coordinatore della Commissione Affari istituzionali e generali della Conferenza delle Regioni e delle Province autonome.","ROBERTA","AGOSTINI","female","19660825","ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA (28.02.2017-22.03.2018)","Laurea in filosofia; Dipendente pubblico","20170228","20180322","20171122","<http://dati.camera.it/ocd/intervento.rdf/in17_459423>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib109641_17>"
"9","Svolgimento e conclusione - Indagine conoscitiva sulle politiche in materia di parità tra donne e uomini.
Audizione del presidente dell'Istat, Giorgio Alleva, di Vittoria Buratta, responsabile della direzione centrale per le statistiche sociali ed il censimento della popolazione dell'Istat, e di Roberto Monducci, direttore del dipartimento per la produzione statistica dell'Istat","ROBERTA","AGOSTINI","female","19660825","ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA (28.02.2017-22.03.2018)","Laurea in filosofia; Dipendente pubblico","20170228","20180322","20171025","<http://dati.camera.it/ocd/intervento.rdf/in17_455939>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib108526_17>"
"10","Interventi di fine seduta su argomenti non iscritti all'ordine del giorno (inadempienze del Governo rispetto alla ""opzione donna""; aggressione a Ostia da parte di un esponente della famiglia Spada ai danni di due operatori televisivi RAI; norme sulla conservazione dei dati di traffico telefonico; errato invio di una interpellanza non ancora discussa ad un soggetto esterno; anniversario dell'uccisione di Gabriele Sandri), e per la risposta a strumenti del sindacato ispettivo.","ROBERTA","AGOSTINI","female","19660825","ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA (28.02.2017-22.03.2018)","Laurea in filosofia; Dipendente pubblico","20170228","20180322","20171108","<http://dati.camera.it/ocd/intervento.rdf/in17_457257>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib108921_17>"
"11","Nella giornata internazionale per l'eliminazione della violenza contro le donne","STEFANO","ALLASIA","male","19741206","LEGA NORD E AUTONOMIE (17.04.2013-22.03.2018)","Diploma di istituto tecnico industriale; Artigiano","20130417","20180322","20141125","<http://dati.camera.it/ocd/intervento.rdf/in17_308082>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72764_17>"
"12","Audizione di Gabriella Cims, promotrice di Appello donne e media Onlus, Elisa Manna, responsabile per le politiche sociali del CENSIS, Gioia Vaccari, membro dell'Istituto nazionale di scienze biosociali, Sonia Albanese, membro di Zonta International e Anna Maria Buzzetti, associazione giuriste italiane - presidente della sezione di Roma.","MICHELE","ANZALDI","male","19600804","PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Diploma di liceo classico; Giornalista professionista","20130319","20180322","20131217","<http://dati.camera.it/ocd/intervento.rdf/in17_253680>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib61455_17>"
"13","Svolgimento e conclusione - Audizione di Donatella Martini, presidente di Donne in quota, e Claudia Signoretti, Fondazione Pangea","MICHELE","ANZALDI","male","19600804","PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Diploma di liceo classico; Giornalista professionista","20130319","20180322","20140108","<http://dati.camera.it/ocd/intervento.rdf/in17_255702>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib61824_17>"
"14","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (anniversario della morte dello studente Vito Scafidi; concerto neonazista in provincia di Milano; opacità nelle associazioni di volontariato ambientale; mancata attuazione del piano antiviolenza sulle donne; morte di un elettricista dell'ILVA per malattia professionale; ferimento di un'attivista italiana di Greenpeace; crescita dei reati contro la persona nel ragusano; proposta di legge sulla registrazione degli atti di stato civile; esondazione del fiume Seveso e posizione di un gruppo politico; finanziamenti pubblici delle diverse fonti energetiche) e per la risposta a strumenti del sindacato ispettivo","MASSIMO","ARTINI","male","19741230","MOVIMENTO 5 STELLE (19.03.2013-30.11.2014)","Diploma di istituto tecnico commerciale; Imprenditore del settore delle telecomunicazioni","20130319","20141130","20141117","<http://dati.camera.it/ocd/intervento.rdf/in17_305879>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72469_17>"
